"TIME","TEMP_P","TEMP_H","PRESS","HUMID","AccX","AccY","AccZ","GyrX","GyrY","GyrZ","MagX","MagY","MagZ"
1521044032.12, 0, 32.2265090942, 0, 33.7564430237, 0.0116374036297, -0.019056847319, 0.452545046806, 0.643973469734, 0.435416549444, -0.0218259803951, -11.5763072968, -7.90681552887, -14.2183151245
1521044034.21, 29.9750003815, 32.0653762817, 1064.77587891, 36.3915557861, 0.0150316469371, -0.0115788429976, 0.998913347721, 0.0391614064574, 0.0171979740262, 0.00668549537659, -17.3485031128, -12.0655517578, -21.5722045898
1521044036.3, 29.9937496185, 32.1190872192, 1064.77832031, 37.0386657715, 0.01454675477, -0.0159209091216, 0.999157071114, 0.0355281829834, 0.0248089246452, 0.00604390725493, -20.4943256378, -14.1972827911, -25.0353775024
1521044038.39, 30.0145835876, 32.20860672, 1064.80883789, 36.3977775574, 0.015274092555, -0.0135086504743, 0.999888181686, 0.0332114398479, 0.0212467983365, 0.00457805767655, -22.0857849121, -15.5429763794, -26.9782142639
1521044040.48, 30.0291671753, 32.1727981567, 1064.77978516, 36.5284423828, 0.01454675477, -0.0147147793323, 1.00305616856, 0.0327508747578, 0.0186566151679, 0.00468133203685, -22.8283729553, -15.7542362213, -28.4769515991
1521044042.57, 30.0375003815, 32.3160324097, 1064.7800293, 35.8906669617, 0.015274092555, -0.0132674239576, 0.938232839108, 0.0328215733171, 0.0198599509895, 0.00399178825319, -23.0367717743, -16.1396007538, -28.5476570129
1521044044.66, 30.0583343506, 32.3160324097, 1064.79077148, 36.6684417725, 0.0147892013192, -0.0151972314343, 1.00013196468, 0.0276712663472, 0.0198009647429, 0.00499012134969, -23.3736591339, -16.3582782745, -29.2604503632
"TIME","TEMP_P","TEMP_H","PRESS","HUMID","AccX","AccY","AccZ","GyrX","GyrY","GyrZ","MagX","MagY","MagZ"
1521044492.81, 31.3062496185, 33.5335083008, 1064.86914062, 33.8684425354, 0.0140618635342, -0.00989026203752, 1.00841748714, 0.0310502871871, 0.0190909840167, 0.00526748225093, -11.177271843, -7.16470003128, -15.9433803558
1521044494.9, 31.3250007629, 33.6409339905, 1064.83764648, 34.1795539856, 0.0143043091521, -0.0139911016449, 0.999888181686, 0.0303920246661, 0.0190853476524, 0.00562198832631, -16.9615821838, -11.0013780594, -24.3371276855
1521044496.99, 31.3270835876, 33.6051254272, 1064.85620117, 34.014667511, 0.0128496335819, -0.0110963908955, 0.999644458294, 0.0259028784931, 0.0187496691942, 0.00565844960511, -19.7937698364, -12.8982181549, -28.5589790344
1521044499.08, 31.3354167938, 33.6588363647, 1064.84155273, 34.4191093445, 0.01454675477, -0.0125437462702, 0.998182296753, 0.0272312015295, 0.0166538134217, 0.00480255484581, -21.7904815674, -13.7909698486, -29.9769039154
1521044501.17, 31.3312492371, 33.5514144897, 1064.84765625, 33.9088897705, 0.0138194169849, -0.0132674239576, 0.999400794506, 0.0243995897472, 0.0134707652032, 0.00366355851293, -22.7673168182, -14.2961807251, -30.5190658569
